queue_length,active_counters,avg_service_time,hour,day_of_week,arrival_rate,waiting_time
2,2,4,9,1,2,4
5,2,4,9,1,3,10
8,2,5,10,1,4,20
10,2,5,10,1,5,25
15,2,5,11,1,7,38
20,2,5,11,1,8,50
5,3,4,12,2,3,7
10,3,4,12,2,5,14
15,3,4,13,2,7,20
20,3,5,13,2,9,32
25,3,5,14,2,10,42
30,3,5,14,2,12,50
5,4,3,15,3,3,5
10,4,4,15,3,5,10
15,4,4,16,3,7,15
20,4,5,16,3,8,22
25,4,5,17,3,10,32
30,4,5,17,3,12,40
8,2,5,10,4,4,20
12,2,5,11,4,6,30
18,3,4,12,4,8,25
22,3,5,13,4,9,35
28,4,5,14,4,11,38
35,4,5,15,4,14,48
6,2,4,9,5,3,12
12,2,5,10,5,6,30
18,3,5,11,5,8,30
24,3,5,12,5,10,42
30,4,5,13,5,12,38
36,4,5,14,5,15,48
